X,Y,fid,objectid,cam_num,notes,location,proj,xcoord,ycoord,created_us,created_da,last_edite,last_edi_1
-8528134.2405,4767745.7374,210,210,503, ,Greenmount-27th,BPD Cameras,-76.60953333,39.32092222, , , , 
-8528313.8978,4767739.7418,211,211,504, ,Barclay St - E 27th St,BPD Cameras,-76.61114722,39.32088055, , , , 
-8528476.2388,4766662.9756,212,212,519, ,Guilford Ave - E 21st St,BPD Cameras,-76.61260555,39.31339722, , , , 
-8527923.6612,4765128.763,213,213,532, ,Greenmount Ave - E Chase St,BPD Cameras,-76.60764166,39.30273333, , , , 
-8527882.2256,4764931.35840001,214,214,533, ,Greenmount Ave - E Eager St,BPD Cameras,-76.60726944,39.30136111, , , , 
-8528143.8263,4766349.2403,215,215,524, ,Greenmount - E North Ave,BPD Cameras,-76.60961944,39.31121666, , , , 
-8528315.1347,4767832.0755,216,216,505, ,Barclay St - Whitridge Ave,BPD Cameras,-76.61115833,39.32152222, , , , 
-8522322.6581,4762867.9378,217,217,401, ,Eastern Ave - S Macon St,BPD Cameras,-76.557327,39.287016, , , , 
-8525722.578,4764540.9245,218,218,601, ,E Monument St - N Chester St,BPD Cameras,-76.58786899,39.298647, , , , 
-8525642.5169,4764391.33410001,219,219,602, ,McElderry St - N Duncan St,BPD Cameras,-76.58714979,39.29760709, , , , 
-8525513.5294,4764692.0063,220,220,604, ,E Madison St - N Mederia St,BPD Cameras,-76.58599108,39.29969726, , , , 
-8525402.4569,4764544.2082,221,221,605, ,E Monument St - N Patterson Park Ave,BPD Cameras,-76.5849933,39.29866982, , , , 
